PAGE,STATUS,TITLE,H1,META DESCRIPTION,CONTENT COMPLETE?,INTERNAL LINKS?,CTA?,SCHEMA?,INDEXABLE?,WORD COUNT,BROKEN INTERNAL LINKS
/,200,Contractor Build — Everything Contractors Need to Grow,Build your business.Book more jobs.,"Websites, SEO, advertising, tracking, and growth systems built for contractors.",YES,YES,YES,YES,YES,1019,
/services/,200,Contractor Marketing Services | Contractor Build,Contractor Growth Services,"Explore Contractor Build services for websites, SEO, advertising, conversion, tracking, CRM, and follow-up.",YES,YES,YES,YES,YES,563,
/industries/,200,Industries We Serve | Contractor Build,Industries We Help Grow,Explore contractor marketing strategies shaped around the customer journey and economics of each trade.,YES,YES,YES,YES,YES,603,
/services/contractor-websites/,200,Contractor Website Design | Contractor Build,Contractor Website Design,"Custom, mobile-first WordPress websites for contractors, with conversion strategy, technical SEO, service pages, tracking, and CRM-ready forms.",YES,YES,YES,YES,YES,540,
/services/contractor-seo/,200,Contractor SEO Services | Contractor Build,Contractor SEO,"People-first contractor SEO covering technical health, service content, internal links, authority, local relevance, and measurement.",YES,YES,YES,YES,YES,530,
/services/local-seo/,200,Local SEO for Contractors | Contractor Build,Local SEO,"Local SEO for contractors across websites, Google Maps, citations, reviews, local content, and legitimate service-area relevance.",YES,YES,YES,YES,YES,523,
/services/google-ads/,200,Google Ads for Contractors | Contractor Build,Google Ads Management,"Contractor Google Ads management with search strategy, negative keywords, geo controls, landing pages, call tracking, and transparent optimization.",YES,YES,YES,YES,YES,520,
/services/local-services-ads/,200,Local Services Ads for Contractors | Contractor Build,Google Local Services Ads,"LSA setup and management for eligible contractors, including service configuration, budgets, lead handling, monitoring, and available disputes.",YES,YES,YES,YES,YES,523,
/services/social-media-advertising/,200,Social Media Advertising for Contractors | Contractor Build,Social Media Advertising,"Facebook and Instagram advertising for contractors, including creative, local audiences, lead forms, landing pages, retargeting, and tracking.",YES,YES,YES,YES,YES,524,
/services/google-business-profile/,200,Google Business Profile Optimization | Contractor Build,Google Business Profile Optimization,"Legitimate Google Business Profile optimization for contractors covering categories, services, photos, posts, reviews, and local alignment.",YES,YES,YES,YES,YES,521,
/services/lead-generation/,200,Contractor Lead Generation | Contractor Build,Contractor Lead Generation,"Connected contractor lead generation using search, paid media, landing pages, tracking, qualification, and follow-up.",YES,YES,YES,YES,YES,515,
/services/reputation-management/,200,Reputation Management for Contractors | Contractor Build,Reputation Management,"Legitimate contractor review requests, monitoring, response workflows, feedback routing, and reputation reporting without fake reviews.",YES,YES,YES,YES,YES,511,
/services/marketing-automation/,200,Marketing Automation for Contractors | Contractor Build,Marketing Automation,"Contractor marketing automation for lead routing, missed calls, SMS, email, reminders, pipeline stages, and reactivation.",YES,YES,YES,YES,YES,519,
/services/analytics-tracking/,200,Analytics and Lead Tracking for Contractors | Contractor Build,Analytics & Lead Tracking,"GA4, Tag Manager, call and form tracking, attribution, CRM feedback, and contractor marketing dashboards.",YES,YES,YES,YES,YES,520,
